"nace","year","market_EU28"
2012,2009,58427298.875289
2012,2010,73564202.558812
2012,2011,80003467.479782
2012,2012,79880678.48124
2012,2013,77253954.02592
2012,2014,78156518.488776
2012,2015,77137983.669824
2012,2016,79454679.062202
2013,2005,8217627.403104
2013,2006,131534574.9828
2013,2007,136881709.235775
2013,2008,154409463.729104
2013,2009,120799911.934167
2013,2010,137635508.335234
2013,2011,152888110.961173
2013,2012,149023143.201149
2013,2013,146179669.048224
2013,2014,144909758.221564
2013,2015,148616686.331784
2013,2016,141186170.08683
2014,2005,41603080.075074
2014,2006,762631221.1111
2014,2007,820077901.75593
2014,2008,730515000.978386
2014,2009,657662553.553798
2014,2010,740037058.843556
2014,2011,836594636.666161
2014,2012,897448514.664016
2014,2013,835553902.130682
2014,2014,829469082.183084
2014,2015,752407370.140404
2014,2016,689748990.457812
2015,2005,0
2015,2006,104092165.6687
2015,2007,113735618.883747
2015,2008,162595653.454742
2015,2009,101466584.977783
2015,2010,126404031.40751
2015,2011,158208667.829595
2015,2012,166459623.743581
2015,2013,158285316.270984
2015,2014,150355118.51346
2015,2015,152050389.123424
2015,2016,125310532.749432
2016,2005,0
2016,2006,622256844.341
2016,2007,651079281.137679
2016,2008,631668887.04429
2016,2009,466536323.001354
2016,2010,571724762.638886
2016,2011,624312622.138658
2016,2012,633196761.032955
2016,2013,644474153.501766
2016,2014,639912209.18583
2016,2015,647410217.839044
2016,2016,616225426.234026
2017,2005,0
2017,2006,40623869.7656
2017,2007,39919120.939125
2017,2008,38724241.28328
2017,2009,28905028.395573
2017,2010,40102256.200062
2017,2011,50838699.532558
2017,2012,49763864.879071
2017,2013,41707943.95698
2017,2014,39033724.621654
2017,2015,35949459.30422
2017,2016,35346058.938336
2020,2005,54836882.715104
2020,2006,50186659.7386
2020,2007,51525179.50662
2020,2008,57463027.586572
2020,2009,54239646.452905
2020,2010,56021068.051356
2020,2011,62533444.728995
2020,2012,64168453.532946
2020,2013,64485180.33363
2020,2014,68232066.523922
2020,2015,72065408.852624
2020,2016,69543913.272312
2030,2005,235980820.626649
2030,2006,239938920.9525
2030,2007,251474066.979012
2030,2008,238902879.905018
2030,2009,203911875.402002
2030,2010,225332316.694436
