kurstype	valuta	tid	Månedsgennemsnit	
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2012M12	569.1288
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2013M01	561.5895
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2013M02	558.4870
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2013M03	574.7447
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2013M04	572.3110
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2013M05	573.7330
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2013M06	565.2384
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2013M07	570.2400
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2013M08	560.3591
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2013M09	558.7976
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2013M10	547.0909
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2013M11	552.7967
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2013M12	544.5706
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2014M01	548.2282
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2014M02	546.3680
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2014M03	539.9886
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2014M04	540.5895
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2014M05	542.6989
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2014M06	548.7079
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2014M07	550.7535
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2014M08	559.8781
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2014M09	577.1241
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2014M10	587.4857
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2014M11	596.6560
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2014M12	602.6042
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2015M01	640.5376
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2015M02	656.4335
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2015M03	688.5114
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2015M04	692.8768
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2015M05	670.2647
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2015M06	665.3748
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2015M07	678.6291
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2015M08	670.1305
